ID,sex,age,worktime,edu,marriage,RL,WM,WD,HL,HW,OC
463,1,32,7,2,4,-0.583618234,-0.275213675,-0.410944919,-0.90997151,-0.055840456,-0.600379867
464,1,26,4,3,4,0.416381766,0.391452991,0.200166192,-1.076638177,-0.055840456,0.510731244
465,1,30,6,3,4,0.083048433,-0.275213675,0.269610636,0.09002849,0.277492877,0.288509022
466,2,37,7,3,4,0.7497151,0.058119658,0.811277303,1.09002849,0.610826211,0.510731244
467,2,24,1,3,1,0.583048433,1.391452991,0.880721747,0.756695157,0.444159544,0.844064577
468,2,32,5,3,4,0.416381766,0.724786325,0.741832858,0.923361823,0.777492877,0.732953466
469,2,32,7,3,4,0.583048433,1.058119658,0.672388414,0.756695157,0.777492877,0.510731244
470,2,35,9,4,4,0.9997151,0.724786325,0.964055081,-0.243304843,0.277492877,0.399620133
471,2,32,7,4,4,0.916381766,0.724786325,0.866832858,-0.243304843,0.110826211,0.510731244
472,1,36,5,4,4,0.916381766,0.724786325,0.97794397,0.923361823,0.944159544,0.732953466
473,1,36,6,4,4,0.666381766,0.391452991,0.894610636,1.256695157,0.610826211,0.621842355
474,2,36,7,4,4,1.083048433,1.058119658,0.880721747,0.756695157,0.944159544,0.732953466
475,2,29,5,3,4,0.333048433,0.724786325,0.783499525,0.423361823,0.110826211,0.0662868
476,2,33,5,4,4,1.083048433,0.724786325,1.116832858,1.256695157,1.110826211,1.0662868
477,1,34,6,4,4,0.916381766,0.058119658,1.200166192,1.256695157,0.944159544,1.0662868
478,2,33,3,3,4,0.583048433,1.058119658,0.797388414,0.256695157,0.777492877,0.732953466
479,2,31,3,3,4,0.583048433,0.724786325,0.686277303,0.256695157,0.777492877,0.288509022
480,2,32,3,3,4,0.666381766,0.724786325,0.630721747,0.256695157,0.444159544,0.288509022
481,2,31,7,4,4,0.083048433,1.058119658,0.35294397,0.256695157,1.110826211,0.177397911
482,2,26,5,4,1,-0.166951567,0.724786325,0.380721747,0.923361823,0.110826211,0.732953466
483,1,33,7,3,4,0.083048433,-0.275213675,0.10294397,0.59002849,0.110826211,0.510731244
484,1,39,8,3,4,0.583048433,0.724786325,0.797388414,0.923361823,0.944159544,0.844064577
485,1,36,10,3,4,0.916381766,0.724786325,0.797388414,0.923361823,0.944159544,0.955175689
486,1,32,9,3,4,0.9997151,0.724786325,1.047388414,0.59002849,0.944159544,0.177397911
487,1,38,9,3,4,0.916381766,0.724786325,0.811277303,1.09002849,1.110826211,1.0662868
488,1,37,8,3,4,0.833048433,1.058119658,0.714055081,1.09002849,0.777492877,0.621842355
489,1,37,8,3,4,0.7497151,0.724786325,0.769610636,1.09002849,0.777492877,1.0662868
490,1,36,7,3,4,1.083048433,0.724786325,0.97794397,0.923361823,1.110826211,0.510731244
491,2,30,6,3,4,0.166381766,0.724786325,0.491832858,0.756695157,1.277492877,0.399620133
492,2,34,2,2,4,1.333048433,1.391452991,1.283499525,0.423361823,1.110826211,1.0662868
493,2,32,5,3,4,0.7497151,0.391452991,0.519610636,0.923361823,0.610826211,0.621842355
494,2,29,5,3,4,0.083048433,0.724786325,0.714055081,0.59002849,0.444159544,0.732953466
495,2,29,5,3,4,0.9997151,0.391452991,0.908499525,0.256695157,1.110826211,0.732953466
496,2,32,7,3,4,0.916381766,0.724786325,1.005721747,1.09002849,1.110826211,0.399620133
497,2,45,6,5,4,0.4997151,1.058119658,0.97794397,1.09002849,0.944159544,1.0662868
498,2,28,5,3,4,1.2497151,0.724786325,0.769610636,0.423361823,1.277492877,0.510731244
499,2,30,6,3,4,1.083048433,0.391452991,0.755721747,0.756695157,0.944159544,0.844064577
500,2,27,4,3,4,0.7497151,1.058119658,0.991832858,0.59002849,0.944159544,0.510731244
501,1,29,5,3,4,0.9997151,0.391452991,0.880721747,0.756695157,0.944159544,0.844064577
502,2,29,5,3,4,0.083048433,-0.275213675,0.075166192,0.256695157,0.110826211,0.0662868
503,2,26,2.5,2,1,0.166381766,0.058119658,0.561277303,-0.243304843,-0.389173789,0.288509022
504,2,31,6,3,4,0.4997151,1.058119658,0.686277303,0.423361823,1.110826211,0.399620133
505,1,34,7,3,4,0.583048433,0.724786325,0.700166192,0.59002849,0.777492877,0.399620133
506,1,32,5,3,4,0.7497151,0.058119658,0.547388414,0.923361823,0.777492877,0.621842355
507,2,31,9,4,4,0.583048433,0.724786325,0.269610636,0.256695157,0.777492877,0.399620133
508,2,31,8,4,4,-0.166951567,0.724786325,0.325166192,0.256695157,0.777492877,0.399620133
509,2,38,8,3,4,0.333048433,1.058119658,0.575166192,0.756695157,0.777492877,0.955175689
510,2,37,10,3,4,0.083048433,0.058119658,0.505721747,0.756695157,0.777492877,0.621842355
511,1,29,6,5,4,0.083048433,-0.275213675,0.075166192,0.256695157,0.444159544,0.177397911
512,1,32,3,3,4,0.916381766,0.724786325,0.85294397,1.256695157,1.110826211,0.621842355
513,2,37,9,3,4,0.583048433,0.058119658,0.380721747,0.256695157,0.777492877,0.288509022
514,2,35,10,3,4,0.833048433,0.391452991,0.769610636,0.923361823,0.777492877,0.732953466
515,2,35,10,4,4,0.916381766,0.391452991,0.672388414,1.09002849,0.777492877,0.844064577
516,2,32,6,3,4,-1.0002849,0.058119658,-0.105389364,-0.40997151,0.444159544,0.288509022
517,2,29,3,3,4,0.583048433,0.724786325,1.10294397,0.923361823,0.944159544,0.844064577
518,2,38,7,3,4,0.583048433,0.058119658,0.422388414,0.423361823,1.110826211,0.621842355
